Date,Country,Population,Total_Tests,Total_Cases,Total_Deaths,Total_Recovered,Active_Cases,New Cases,New Deaths,Percentage_Positive,Serious_or_Critical
19-04-2020,Afghanistan,39119903,6422,996,33,131,832,,,0.002546019,13551
21-04-2020,Afghanistan,39119903,6422,1092,36,150,906,,,0.002791418,6634
22-04-2020,Afghanistan,39119903,6422,1176,40,166,970,,,0.003006142,8
23-04-2020,Afghanistan,39119903,6422,1279,42,179,1058,,,0.003269436,117
24-04-2020,Afghanistan,39119903,6422,1351,43,188,1120,,,0.003453485,98
25-04-2020,Afghanistan,39119903,7425,1463,47,188,1228,,,0.003739784,207
26-04-2020,Afghanistan,39119903,8090,1531,50,207,1274,,,0.003913609,7371
27-04-2020,Afghanistan,39119903,8694,1703,57,220,1426,,,0.004353283,36
28-04-2020,Afghanistan,39119903,9000,1828,58,228,1542,,,0.004672813,127
29-04-2020,Afghanistan,39119903,9000,1939,60,252,1627,,,0.004956556,5833
30-04-2020,Afghanistan,39119903,10022,2171,64,260,1847,,,0.005549605,360
01-05-2020,Afghanistan,39119903,10593,2335,68,310,1957,,,0.005968829,3513
02-05-2020,Afghanistan,39119903,11068,2469,72,345,2274,,,0.006311365,1559
03-05-2020,Afghanistan,39119903,11068,2704,85,345,2274,,,0.006912083,1
04-05-2020,Afghanistan,39119903,11068,2894,90,397,2407,,,0.007397769,78
06-05-2020,Afghanistan,39119903,13777,3392,104,458,2830,,,0.008670778,46
07-05-2020,Afghanistan,39119903,14389,3563,106,468,2989,,,0.009107896,1894
08-05-2020,Afghanistan,39119903,14389,3778,109,472,3197,,,0.009657488,2733
09-05-2020,Afghanistan,39119903,15560,4033,115,502,3416,,,0.01030933,1
10-05-2020,Afghanistan,39119903,15560,4402,120,558,3724,,,0.011252584,2922
12-05-2020,Afghanistan,39119903,18098,4963,127,610,4226,,,0.012686637,164
13-05-2020,Afghanistan,39119903,18724,5226,132,648,4446,,,0.013358929,45
14-05-2020,Afghanistan,39119903,19732,5639,136,691,4812,,,0.014414657,557
15-05-2020,Afghanistan,39119903,20854,6053,153,745,5155,,,0.015472942,3
16-05-2020,Afghanistan,39119903,21967,6402,168,745,5489,,,0.016365071,168
17-05-2020,Afghanistan,39119903,22639,6664,169,778,5717,,,0.017034807,37
18-05-2020,Afghanistan,39119903,23497,7072,173,801,6098,,,0.018077754,248
19-05-2020,Afghanistan,39119903,24697,7653,178,850,6625,,,0.019562932,146
20-05-2020,Afghanistan,39119903,25700,8145,187,930,7028,,,0.020820604,22
21-05-2020,Afghanistan,39119903,26707,8676,193,938,7545,,,0.022177969,96
23-05-2020,Afghanistan,39119903,29417,9998,216,1040,8742,,,0.025557323,1
24-05-2020,Afghanistan,39119903,30052,10582,218,1075,9289,,,0.027050169,1119
25-05-2020,Afghanistan,39119903,31718,11173,219,1097,9857,,,0.028560909,34
26-05-2020,Afghanistan,39119903,32870,11831,220,1128,10483,,,0.030242918,1279
27-05-2020,Afghanistan,39119903,33864,12456,227,1138,11091,,,0.03184057,3
28-05-2020,Afghanistan,39119903,34903,13036,235,1209,11592,,,0.033323191,1054
29-05-2020,Afghanistan,39119903,35923,13659,246,1259,12154,,,0.034915731,3
30-05-2020,Afghanistan,39119903,37348,14525,249,1303,12973,,,0.037129438,85
31-05-2020,Afghanistan,39119903,38460,15205,257,1328,13620,,,0.038867683,1
01-06-2020,Afghanistan,39119903,39628,15750,265,1428,14057,,,0.040260836,160
02-06-2020,Afghanistan,39119903,40950,16509,270,1450,14789,,,0.042201025,221
03-06-2020,Afghanistan,39119903,42273,17267,294,1522,15451,,,0.044138658,65
04-06-2020,Afghanistan,39119903,43569,18054,300,1585,16169,,,0.046150421,10
05-06-2020,Afghanistan,39119903,45139,18969,309,1762,16898,,,0.048489384,1
06-06-2020,Afghanistan,39119903,45900,19551,327,1830,17394,,,0.049977118,228
07-06-2020,Afghanistan,39119903,47327,20342,357,1875,18110,,,0.051999106,4
08-06-2020,Afghanistan,39119903,48305,20917,369,2171,18377,,,0.053468946,3
09-06-2020,Afghanistan,39119903,49530,21459,384,2651,18424,,,0.05485443,10
11-06-2020,Afghanistan,39119903,52546,22890,426,3326,19138,,,0.058512415,23
12-06-2020,Afghanistan,39119903,53705,23546,446,3928,19172,,,0.060189311,2
13-06-2020,Afghanistan,39119903,54770,24102,451,4201,19450,,,0.061610582,8
14-06-2020,Afghanistan,39119903,55981,24766,471,4725,19570,,,0.063307928,60
15-06-2020,Afghanistan,39119903,57532,25527,478,5164,19885,,,0.065253229,86
16-06-2020,Afghanistan,39119903,59172,26310,491,5508,20311,,,0.067254768,386
17-06-2020,Afghanistan,39119903,60298,26874,504,6158,20212,,,0.068696489,30
18-06-2020,Afghanistan,39119903,61599,27532,546,7660,19326,,,0.070378498,80
19-06-2020,Afghanistan,39119903,62492,27878,548,7962,19368,,,0.071262958,4
20-06-2020,Afghanistan,39119903,63951,28424,569,8292,19563,,,0.072658667,5
21-06-2020,Afghanistan,39119903,64958,28833,581,8764,19488,,,0.07370417,21
23-06-2020,Afghanistan,39119903,66800,29481,618,9260,19603,,,0.075360616,208
24-06-2020,Afghanistan,39119903,67282,29640,639,9869,19132,,,0.075767059,2
26-06-2020,Afghanistan,39119903,69558,30451,683,10306,19462,,,0.077840173,1
27-06-2020,Afghanistan,39119903,70087,30616,703,10674,19239,,,0.078261953,294
28-06-2020,Afghanistan,39119903,70788,30967,721,12604,17642,,,0.079159194,126
29-06-2020,Afghanistan,39119903,71549,31238,733,13934,16571,,,0.079851936,30
01-07-2020,Afghanistan,39119903,72906,31836,774,15651,15411,,,0.08138057,1
02-07-2020,Afghanistan,39119903,73515,32022,807,16041,15174,,,0.081856031,55
03-07-2020,Afghanistan,39119903,74287,32324,819,17331,14174,,,0.082628017,4
04-07-2020,Afghanistan,39119903,75155,32672,826,19164,12682,,,0.083517589,55
05-07-2020,Afghanistan,39119903,75747,32951,864,19366,12721,,,0.084230781,76
06-07-2020,Afghanistan,39119903,76415,33190,898,20103,12189,,,0.084841724,33
08-07-2020,Afghanistan,39119903,77501,33594,936,20700,11958,,,0.085874446,35
09-07-2020,Afghanistan,39119903,78217,33908,957,20847,12104,,,0.086677107,60
10-07-2020,Afghanistan,39119903,78959,34194,971,20882,12341,,,0.087408192,15
11-07-2020,Afghanistan,39119903,79354,34366,994,21135,12237,,,0.087847866,1
12-07-2020,Afghanistan,39119903,79732,34451,1010,21216,12225,,,0.088065147,67
13-07-2020,Afghanistan,39119903,79804,34455,1012,21254,12189,,,0.088075372,27
14-07-2020,Afghanistan,39119903,81252,34740,1048,21454,12238,,,0.088803901,1
15-07-2020,Afghanistan,39119903,81934,34994,1094,22456,11444,,,0.089453187,1
17-07-2020,Afghanistan,39119903,82924,35229,1147,23151,10931,,,0.090053904,63
18-07-2020,Afghanistan,39119903,83138,35301,1164,23273,10864,,,0.090237954,5
22-07-2020,Afghanistan,39119903,84579,35727,1190,23924,10613,,,0.091326914,49
23-07-2020,Afghanistan,39119903,85413,35928,1211,24550,10167,,,0.091840719,33
25-07-2020,Afghanistan,39119903,86166,36036,1248,24793,9995,,,0.092116793,2
27-07-2020,Afghanistan,39119903,87378,36263,1269,25198,9796,,,0.09269706,70
30-07-2020,Afghanistan,39119903,88524,36542,1271,25471,9800,,,0.093410252,7
31-07-2020,Afghanistan,39119903,89066,36675,1272,25509,9894,,,0.093750232,32
04-08-2020,Afghanistan,39119903,89377,36782,1288,25669,9825,,,0.094023751,10
06-08-2020,Afghanistan,39119903,90396,36896,1298,25840,9758,,,0.094315162,1
11-08-2020,Afghanistan,39119903,96781,37269,1344,26415,9510,,,0.095268641,15
12-08-2020,Afghanistan,39119903,97199,37345,1354,26694,9297,,,0.095462916,9
18-08-2020,Afghanistan,39119903,98772,37599,1375,27166,9058,,,0.096112202,5
21-08-2020,Afghanistan,39119903,100377,37894,1385,28016,8493,,,0.096866293,27
25-08-2020,Afghanistan,39119903,101377,38070,1397,28440,8233,,,0.097316192,14
26-08-2020,Afghanistan,39119903,101893,38113,1401,29042,7670,,,0.097426111,4
27-08-2020,Afghanistan,39119903,102168,38129,1401,29046,7682,,,0.097467011,6
29-08-2020,Afghanistan,39119903,102381,38143,1402,29063,7678,,,0.097502798,61
30-08-2020,Afghanistan,39119903,102598,38162,1402,29089,7671,,,0.097551367,6
31-08-2020,Afghanistan,39119903,102643,38165,1402,29089,7674,,,0.097559035,2
01-09-2020,Afghanistan,39119903,102778,38196,1406,29231,7559,,,0.097638279,13
02-09-2020,Afghanistan,39119903,103199,38243,1409,29315,7519,,,0.097758422,4
03-09-2020,Afghanistan,39119903,103674,38288,1409,29390,7489,,,0.097873453,1
04-09-2020,Afghanistan,39119903,103924,38304,1409,29713,7182,,,0.097914353,1
06-09-2020,Afghanistan,39119903,104575,38398,1412,30537,6449,,,0.09815464,11
07-09-2020,Afghanistan,39119903,105053,38494,1415,30557,6522,,,0.098400039,4
10-09-2020,Afghanistan,39119903,105765,38572,1420,31129,6023,,,0.098599426,3
13-09-2020,Afghanistan,39119903,106802,38716,1420,31638,5658,,,0.098967526,4
16-09-2020,Afghanistan,39119903,107593,38855,1436,32503,4916,,,0.099322843,14
18-09-2020,Afghanistan,39119903,107968,38883,1437,32576,4870,,,0.099394418,3
20-09-2020,Afghanistan,39119903,108591,39044,1441,32576,5027,,,0.099805973,1
18-04-2020,Albania,2877077,5311,548,26,302,220,,,0.019047109,8
19-04-2020,Albania,2877077,5542,562,26,314,222,,,0.019533714,17
20-04-2020,Albania,2877077,5775,584,26,327,231,,,0.020298379,5
23-04-2020,Albania,2877077,6509,663,27,385,251,,,0.023044222,1
26-04-2020,Albania,2877077,7279,726,28,410,288,,,0.025233944,11
27-04-2020,Albania,2877077,7491,736,28,422,286,,,0.025581519,8
29-04-2020,Albania,2877077,8028,766,30,455,281,,,0.026624244,15
02-05-2020,Albania,2877077,8866,769,29,531,233,,,0.026728516,6
04-05-2020,Albania,2877077,9006,803,31,543,229,,,0.027910271,4
09-05-2020,Albania,2877077,10268,856,31,627,198,,,0.029752419,3
11-05-2020,Albania,2877077,10559,872,31,654,187,,,0.030308539,1
12-05-2020,Albania,2877077,10802,876,31,682,163,,,0.030447569,11
13-05-2020,Albania,2877077,11048,880,31,688,161,,,0.030586599,5
15-05-2020,Albania,2877077,11458,916,31,705,180,,,0.031837869,1
18-05-2020,Albania,2877077,12192,948,31,727,190,,,0.032950109,3
19-05-2020,Albania,2877077,12369,949,31,742,176,,,0.032984866,3
20-05-2020,Albania,2877077,12555,964,31,758,175,,,0.033506229,4
21-05-2020,Albania,2877077,12759,969,31,771,167,,,0.033680016,9
22-05-2020,Albania,2877077,12933,981,31,777,173,,,0.034097106,2
25-05-2020,Albania,2877077,13333,1004,32,795,177,,,0.034896529,1
28-05-2020,Albania,2877077,13993,1076,33,823,220,,,0.037399069,1
02-06-2020,Albania,2877077,15068,1164,33,891,240,,,0.040457728,1
04-06-2020,Albania,2877077,15647,1197,33,898,266,,,0.041604726,4
09-06-2020,Albania,2877077,16716,1299,34,960,305,,,0.045149991,1
15-06-2020,Albania,2877077,18569,1590,36,1055,499,,,0.055264423,13566
17-06-2020,Albania,2877077,19266,1722,38,1077,607,,,0.059852413,6634
18-06-2020,Albania,2877077,19546,1788,39,1086,663,,,0.062146408,8
19-06-2020,Albania,2877077,19876,1838,42,1114,682,,,0.063884283,167
20-06-2020,Albania,2877077,20196,1891,43,1126,722,,,0.06572643,98
21-06-2020,Albania,2877077,20523,1962,44,1134,784,,,0.068194212,207
22-06-2020,Albania,2877077,20762,1995,44,1159,792,,,0.06934121,7371
23-06-2020,Albania,2877077,21090,2047,45,1195,807,,,0.0711486,36
24-06-2020,Albania,2877077,21437,2114,47,1217,850,,,0.073477352,123
25-06-2020,Albania,2877077,21781,2192,49,1250,893,,,0.076188437,5744
26-06-2020,Albania,2877077,22183,2269,51,1298,920,,,0.078864764,360
27-06-2020,Albania,2877077,22538,2330,53,1346,931,,,0.080984972,3456
28-06-2020,Albania,2877077,22912,2402,55,1384,963,,,0.083487512,1559
29-06-2020,Albania,2877077,23283,2466,58,1438,970,,,0.085711992,1
30-06-2020,Albania,2877077,23654,2535,62,1459,1014,,,0.088110259,97
02-07-2020,Albania,2877077,24237,2662,69,1559,1034,,,0.092524461,46
03-07-2020,Albania,2877077,24601,2752,72,1592,1088,,,0.095652636,1922
04-07-2020,Albania,2877077,24601,2819,74,1637,1108,,,0.097981389,2635
05-07-2020,Albania,2877077,24601,2893,76,1657,1160,,,0.100553444,1
06-07-2020,Albania,2877077,25730,2964,79,1702,1183,,,0.103021226,2889
08-07-2020,Albania,2877077,26637,3106,83,1791,1232,,,0.107956791,146
09-07-2020,Albania,2877077,27038,3188,83,1832,1273,,,0.110806906,45
10-07-2020,Albania,2877077,27458,3278,85,1875,1318,,,0.113935081,557
11-07-2020,Albania,2877077,27878,3371,89,1881,1401,,,0.117167528,3
12-07-2020,Albania,2877077,28298,3454,93,1946,1415,,,0.1200524,124
13-07-2020,Albania,2877077,28883,3571,95,2014,1462,,,0.124119028,37
14-07-2020,Albania,2877077,29334,3667,97,2062,1508,,,0.127455748,256
15-07-2020,Albania,2877077,29695,3752,101,2091,1560,,,0.130410135,114
16-07-2020,Albania,2877077,30120,3851,104,2137,1610,,,0.133851127,22
17-07-2020,Albania,2877077,30551,3906,107,2214,1585,,,0.13576279,96
19-07-2020,Albania,2877077,31383,4090,112,2311,1667,,,0.14215817,1
20-07-2020,Albania,2877077,31383,4171,113,2352,1706,,,0.144973527,1081
21-07-2020,Albania,2877077,31383,4290,117,2397,1776,,,0.149109669,38
22-07-2020,Albania,2877077,31383,4358,120,2463,1775,,,0.151473179,1176
23-07-2020,Albania,2877077,33105,4466,123,2523,1820,,,0.155226989,3
24-07-2020,Albania,2877077,33669,4570,128,2608,1834,,,0.158841769,450
25-07-2020,Albania,2877077,33669,4637,134,2637,1866,,,0.161170521,3
26-07-2020,Albania,2877077,34477,4763,138,2682,1943,,,0.165549966,85
27-07-2020,Albania,2877077,34477,4880,144,2745,1991,,,0.169616594,1
28-07-2020,Albania,2877077,34477,4997,148,2789,2060,,,0.173683221,160
29-07-2020,Albania,2877077,34477,5105,150,2830,2125,,,0.177437031,217
30-07-2020,Albania,2877077,35986,5197,154,2883,2160,,,0.180634721,65
31-07-2020,Albania,2877077,35986,5276,157,2952,2167,,,0.183380563,10
01-08-2020,Albania,2877077,37503,5396,161,2961,2274,,,0.187551463,1
02-08-2020,Albania,2877077,37503,5519,166,3018,2335,,,0.191826635,224
03-08-2020,Albania,2877077,37503,5620,172,3031,2417,,,0.195337143,4
04-08-2020,Albania,2877077,37503,5750,176,3031,2543,,,0.199855617,2
05-08-2020,Albania,2877077,38997,5889,182,3123,2584,,,0.20468691,10
07-08-2020,Albania,2877077,40675,6151,189,3227,2735,,,0.213793374,22
08-08-2020,Albania,2877077,40675,6275,193,3268,2814,,,0.218103304,2
09-08-2020,Albania,2877077,40675,6411,199,3342,2870,,,0.222830324,8
10-08-2020,Albania,2877077,42242,6536,200,3379,2957,,,0.227175011,40
11-08-2020,Albania,2877077,42242,6676,205,3480,2991,,,0.232041061,84
12-08-2020,Albania,2877077,42854,6817,208,3552,3057,,,0.236941868,386
13-08-2020,Albania,2877077,42854,6971,213,3616,3142,,,0.242294523,30
14-08-2020,Albania,2877077,42854,7117,219,3695,3203,,,0.247369118,80
15-08-2020,Albania,2877077,45402,7260,225,3746,3289,,,0.25233944,4
16-08-2020,Albania,2877077,46028,7380,228,3794,3358,,,0.25651034,5
17-08-2020,Albania,2877077,46529,7499,230,3816,3453,,,0.260646483,21
18-08-2020,Albania,2877077,47461,7654,232,3871,3551,,,0.266033895,7
19-08-2020,Albania,2877077,48325,7812,234,3928,3650,,,0.27152558,204
20-08-2020,Albania,2877077,49172,7967,238,3986,3743,,,0.276912992,2
22-08-2020,Albania,2877077,50873,8275,245,4184,3846,,,0.287618301,1
23-08-2020,Albania,2877077,51658,8427,250,4332,3845,,,0.292901441,294
24-08-2020,Albania,2877077,52605,8605,254,4413,3938,,,0.299088276,120
25-08-2020,Albania,2877077,53475,8759,259,4530,3970,,,0.304440931,27
27-08-2020,Albania,2877077,54353,9083,266,4791,4026,,,0.31570236,1
28-08-2020,Albania,2877077,56019,9195,271,4923,4001,,,0.3195952,48
29-08-2020,Albania,2877077,56815,9279,275,5020,3984,,,0.32251483,4
30-08-2020,Albania,2877077,57618,9380,280,5139,3961,,,0.326025338,55
31-08-2020,Albania,2877077,58438,9513,284,5214,4015,,,0.330648085,84
01-09-2020,Albania,2877077,59250,9606,290,5441,3875,,,0.333880532,33
03-09-2020,Albania,2877077,60941,9844,301,5732,3811,,,0.342152817,36
04-09-2020,Albania,2877077,60941,9967,306,5882,3779,,,0.346427989,61
05-09-2020,Albania,2877077,62658,10102,312,5976,3814,,,0.351120252,15
06-09-2020,Albania,2877077,63505,10255,316,6106,3833,,,0.356438149,1
07-09-2020,Albania,2877077,64329,10406,319,6186,3901,,,0.361686531,67
08-09-2020,Albania,2877077,65159,10553,321,6239,3993,,,0.366795883,23
09-09-2020,Albania,2877077,66011,10704,322,6284,4098,,,0.372044266,1
10-09-2020,Albania,2877077,66881,10860,324,6346,4190,,,0.377466436,1
12-09-2020,Albania,2877077,68628,11185,330,6494,4361,,,0.388762623,58
13-09-2020,Albania,2877077,69505,11353,334,6569,4450,,,0.394601882,5
17-09-2020,Albania,2877077,72818,11948,347,6788,4813,,,0.415282594,46
18-09-2020,Albania,2877077,73651,12073,353,6831,4889,,,0.419627281,33
20-09-2020,Albania,2877077,75331,12385,362,6940,5083,,,0.430471621,2
19-04-2020,Algeria,44025729,6500,2629,375,1047,1207,,,0.005971508,68
22-04-2020,Algeria,44025729,6500,2910,402,1204,1304,,,0.006609771,7
23-04-2020,Algeria,44025729,6500,3007,407,1355,1245,,,0.006830097,31
27-04-2020,Algeria,44025729,6500,3517,432,1558,1527,,,0.007988511,10
29-04-2020,Algeria,44025729,6500,3848,444,1702,1702,,,0.008740344,1
04-05-2020,Algeria,44025729,6500,4648,465,1998,2185,,,0.010557463,16
05-05-2020,Algeria,44025729,6500,4838,470,2067,2301,,,0.010989029,8
11-05-2020,Algeria,44025729,6500,5891,507,2841,2543,,,0.013380812,5
14-05-2020,Algeria,44025729,6500,6442,529,3158,2755,,,0.014632353,26
18-05-2020,Algeria,44025729,6500,7201,555,3625,3021,,,0.016356345,14
19-05-2020,Algeria,44025729,6500,7377,561,3746,3070,,,0.016756111,4
18-04-2020,Andorra,77293,1673,704,35,205,464,,,0.910819867,5
20-04-2020,Andorra,77293,1673,717,37,248,432,,,0.927638984,61
21-04-2020,Andorra,77293,1673,717,37,282,398,,,0.927638984,6
22-04-2020,Andorra,77293,1673,723,37,309,377,,,0.935401653,2
23-04-2020,Andorra,77293,1673,723,37,333,353,,,0.935401653,13
24-04-2020,Andorra,77293,1673,731,40,344,347,,,0.945751879,4
25-04-2020,Andorra,77293,1673,738,40,344,354,,,0.954808327,1
26-04-2020,Andorra,77293,1673,738,40,344,354,,,0.954808327,1
28-04-2020,Andorra,77293,1673,743,41,398,304,,,0.961277218,10
29-04-2020,Andorra,77293,1673,743,42,423,278,,,0.961277218,2
02-05-2020,Andorra,77293,1673,747,44,493,210,,,0.966452331,3
05-05-2020,Andorra,77293,1673,751,46,514,191,,,0.971627444,4
08-05-2020,Andorra,77293,1673,752,47,537,168,,,0.972921222,14
10-05-2020,Andorra,77293,1673,755,48,550,157,,,0.976802557,18
12-05-2020,Andorra,77293,1673,758,48,568,142,,,0.980683891,1
13-05-2020,Andorra,77293,1673,760,49,576,135,,,0.983271448,15
14-05-2020,Andorra,77293,1673,761,49,596,116,,,0.984565226,17
15-05-2020,Andorra,77293,1673,761,49,604,108,,,0.984565226,5
18-05-2020,Andorra,77293,3750,761,51,624,86,,,0.984565226,1
21-05-2020,Andorra,77293,3750,762,51,639,72,,,0.985859004,11
22-05-2020,Andorra,77293,3750,762,51,652,59,,,0.985859004,8
24-05-2020,Andorra,77293,3750,762,51,653,58,,,0.985859004,4
27-05-2020,Andorra,77293,3750,763,51,676,36,,,0.987152782,6
29-05-2020,Andorra,77293,3750,764,51,684,29,,,0.98844656,4
03-06-2020,Andorra,77293,3750,851,51,735,65,,,1.101005266,3
05-06-2020,Andorra,77293,3750,852,51,741,60,,,1.102299044,1
06-06-2020,Andorra,77293,3750,852,51,741,60,,,1.102299044,10
07-06-2020,Andorra,77293,3750,852,51,744,57,,,1.102299044,5
09-06-2020,Andorra,77293,3750,852,51,757,44,,,1.102299044,1
12-06-2020,Andorra,77293,3750,853,51,781,21,,,1.103592822,3
13-06-2020,Andorra,77293,3750,853,51,781,21,,,1.103592822,3
14-06-2020,Andorra,77293,3750,853,51,781,21,,,1.103592822,4
15-06-2020,Andorra,77293,3750,853,51,789,13,,,1.103592822,10
16-06-2020,Andorra,77293,3750,854,52,789,13,,,1.1048866,2
19-06-2020,Andorra,77293,3750,855,52,792,11,,,1.106180379,1
22-06-2020,Andorra,77293,3750,855,52,796,7,,,1.106180379,1
27-06-2020,Andorra,77293,3750,855,52,799,4,,,1.106180379,1
29-06-2020,Andorra,77293,3750,855,52,799,4,,,1.106180379,4
04-07-2020,Andorra,77293,3750,855,52,800,3,,,1.106180379,1
10-07-2020,Andorra,77293,3750,855,52,803,0,,,1.106180379,13951
12-07-2020,Andorra,77293,3750,855,52,803,0,,,1.106180379,7919
13-07-2020,Andorra,77293,3750,858,52,803,3,,,1.110061713,700
14-07-2020,Andorra,77293,3750,861,52,803,6,,,1.113943048,385
15-07-2020,Andorra,77293,3750,861,52,803,6,,,1.113943048,98
16-07-2020,Andorra,77293,3750,877,52,803,22,,,1.134643499,207
17-07-2020,Andorra,77293,3750,880,52,803,25,,,1.138524834,7371
18-07-2020,Andorra,77293,3750,880,52,803,25,,,1.138524834,36
19-07-2020,Andorra,77293,3750,880,52,803,25,,,1.138524834,123
20-07-2020,Andorra,77293,3750,884,52,803,29,,,1.143699947,5683
21-07-2020,Andorra,77293,3750,884,52,803,29,,,1.143699947,377
22-07-2020,Andorra,77293,3750,889,52,803,34,,,1.150168838,3389
23-07-2020,Andorra,77293,3750,889,52,803,34,,,1.150168838,1559
24-07-2020,Andorra,77293,3750,897,52,803,42,,,1.160519064,1
25-07-2020,Andorra,77293,3750,897,52,803,42,,,1.160519064,88
27-07-2020,Andorra,77293,3750,907,52,803,52,,,1.173456846,46
28-07-2020,Andorra,77293,3750,907,52,803,52,,,1.173456846,1909
29-07-2020,Andorra,77293,3750,918,52,804,62,,,1.187688406,2573
30-07-2020,Andorra,77293,3750,922,52,806,64,,,1.192863519,1
31-07-2020,Andorra,77293,3750,925,52,807,66,,,1.196744854,2889
02-08-2020,Andorra,77293,3750,925,52,807,66,,,1.196744854,149
03-08-2020,Andorra,77293,3750,937,52,821,64,,,1.212270193,45
04-08-2020,Andorra,77293,3750,939,52,825,62,,,1.214857749,557
05-08-2020,Andorra,77293,3750,939,52,825,62,,,1.214857749,3
06-08-2020,Andorra,77293,3750,944,52,828,64,,,1.22132664,124
07-08-2020,Andorra,77293,3750,955,52,839,64,,,1.235558201,37
08-08-2020,Andorra,77293,3750,955,52,839,64,,,1.235558201,261
09-08-2020,Andorra,77293,3750,955,52,839,64,,,1.235558201,128
10-08-2020,Andorra,77293,3750,963,52,839,72,,,1.245908426,22
11-08-2020,Andorra,77293,3750,963,52,839,72,,,1.245908426,98
13-08-2020,Andorra,77293,3750,981,53,858,70,,,1.269196434,1
14-08-2020,Andorra,77293,3750,989,53,863,73,,,1.27954666,1071
15-08-2020,Andorra,77293,3750,989,53,863,73,,,1.27954666,39
16-08-2020,Andorra,77293,3750,989,53,863,73,,,1.27954666,1158
17-08-2020,Andorra,77293,3750,1005,53,869,83,,,1.300247112,3
18-08-2020,Andorra,77293,3750,1005,53,869,83,,,1.300247112,521
19-08-2020,Andorra,77293,3750,1024,53,875,96,,,1.324828898,3
20-08-2020,Andorra,77293,137457,1024,53,875,96,,,1.324828898,81
21-08-2020,Andorra,77293,137457,1045,53,875,117,,,1.35199824,1
22-08-2020,Andorra,77293,137457,1045,53,875,117,,,1.35199824,160
23-08-2020,Andorra,77293,137457,1045,53,875,117,,,1.35199824,217
24-08-2020,Andorra,77293,137457,1060,53,877,130,,,1.371404914,92
25-08-2020,Andorra,77293,137457,1060,53,877,130,,,1.371404914,10
26-08-2020,Andorra,77293,137457,1098,53,893,152,,,1.420568486,1
27-08-2020,Andorra,77293,137457,1098,53,893,152,,,1.420568486,215
28-08-2020,Andorra,77293,137457,1124,53,902,169,,,1.45420672,4
29-08-2020,Andorra,77293,137457,1124,53,902,169,,,1.45420672,2
30-08-2020,Andorra,77293,137457,1124,53,902,169,,,1.45420672,8
01-09-2020,Andorra,77293,137457,1184,53,908,223,,,1.531833413,23
02-09-2020,Andorra,77293,137457,1199,53,909,237,,,1.551240086,2
03-09-2020,Andorra,77293,137457,1199,53,909,237,,,1.551240086,8
04-09-2020,Andorra,77293,137457,1215,53,928,234,,,1.571940538,40
05-09-2020,Andorra,77293,137457,1215,53,928,234,,,1.571940538,84
06-09-2020,Andorra,77293,137457,1215,53,928,234,,,1.571940538,386
07-09-2020,Andorra,77293,137457,1261,53,934,274,,,1.631454336,30
08-09-2020,Andorra,77293,137457,1261,53,934,274,,,1.631454336,212
09-09-2020,Andorra,77293,137457,1301,53,938,310,,,1.683205465,4
10-09-2020,Andorra,77293,137457,1301,53,938,310,,,1.683205465,5
11-09-2020,Andorra,77293,137457,1344,53,943,348,,,1.738837928,16
12-09-2020,Andorra,77293,137457,1344,53,943,348,,,1.738837928,7
13-09-2020,Andorra,77293,137457,1344,53,943,348,,,1.738837928,194
14-09-2020,Andorra,77293,137457,1438,53,945,440,,,1.860453081,2
16-09-2020,Andorra,77293,137457,1483,53,1054,376,,,1.918673101,1
17-09-2020,Andorra,77293,137457,1483,53,1054,376,,,1.918673101,294
18-09-2020,Andorra,77293,137457,1564,53,1164,347,,,2.023469137,108
19-09-2020,Andorra,77293,137457,1564,53,1164,347,,,2.023469137,27
01-05-2020,Angola,33085398,481,30,2,11,17,,,9.07E-05,2
02-05-2020,Angola,33085398,481,35,2,11,22,,,0.000105787,49
03-05-2020,Angola,33085398,481,35,2,11,22,,,0.000105787,4
04-05-2020,Angola,33085398,3000,35,2,11,22,,,0.000105787,55
05-05-2020,Angola,33085398,3000,36,2,11,23,,,0.000108809,84
06-05-2020,Angola,33085398,3000,36,2,11,23,,,0.000108809,33
08-05-2020,Angola,33085398,3000,43,2,11,30,,,0.000129967,34
09-05-2020,Angola,33085398,3000,43,2,13,28,,,0.000129967,60
10-05-2020,Angola,33085398,3000,43,2,13,28,,,0.000129967,9
11-05-2020,Angola,33085398,3000,45,2,13,30,,,0.000136012,1
12-05-2020,Angola,33085398,3000,45,2,13,30,,,0.000136012,61
13-05-2020,Angola,33085398,3000,45,2,14,29,,,0.000136012,18
14-05-2020,Angola,33085398,6136,48,2,14,32,,,0.000145079,1
15-05-2020,Angola,33085398,6136,48,2,17,29,,,0.000145079,1
17-05-2020,Angola,33085398,6136,48,2,17,29,,,0.000145079,58
18-05-2020,Angola,33085398,6136,50,3,17,30,,,0.000151124,5
22-05-2020,Angola,33085398,6136,60,3,17,40,,,0.000181349,45
23-05-2020,Angola,33085398,10000,61,4,18,39,,,0.000184371,34
24-05-2020,Angola,33085398,10000,69,4,18,47,,,0.000208551,1
25-05-2020,Angola,33085398,10000,70,4,18,48,,,0.000211574,2
27-05-2020,Angola,33085398,10000,71,4,18,49,,,0.000214596,67
28-05-2020,Angola,33085398,10000,74,4,18,52,,,0.000223664,2
30-05-2020,Angola,33085398,10000,84,4,18,62,,,0.000253888,7
